"doi","ReferencesId"
"10.1109/TVCG.2010.126","10.1109/INFVIS.2004.64"
"10.1109/TVCG.2010.126","10.1109/TVCG.2009.111"
"10.1109/TVCG.2010.129","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2010.129","10.1109/TVCG.2008.166"
"10.1109/TVCG.2010.138","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2010.138","10.1109/TVCG.2006.147"
"10.1109/TVCG.2010.138","10.1109/INFVIS.2000.885086"
"10.1109/TVCG.2010.144","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2010.144","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2010.144","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2010.144","10.1109/INFVIS.2004.64"
"10.1109/TVCG.2010.144","10.1109/INFVIS.2000.885086"
"10.1109/TVCG.2010.154","10.1109/INFVIS.2000.885098"
"10.1109/TVCG.2010.154","10.1109/INFVIS.2005.1532126"
"10.1109/TVCG.2010.154","10.1109/TVCG.2006.147"
"10.1109/TVCG.2010.154","10.1109/INFVIS.1995.528686"
"10.1109/TVCG.2010.159","10.1109/INFVIS.2002.1173156"
"10.1109/TVCG.2010.161","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2010.162","10.1109/TVCG.2008.166"
"10.1109/TVCG.2010.162","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2010.162","10.1109/INFVIS.1999.801851"
"10.1109/TVCG.2010.162","10.1109/TVCG.2008.125"
"10.1109/TVCG.2010.164","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.164","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2010.164","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2010.164","10.1109/VAST.2008.4677365"
"10.1109/TVCG.2010.164","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2010.164","10.1109/INFVIS.2005.1532136"
"10.1109/TVCG.2010.164","10.1109/INFVIS.1998.729560"
"10.1109/TVCG.2010.164","10.1109/TVCG.2007.70594"
"10.1109/TVCG.2010.164","10.1109/INFVIS.2000.885086"
"10.1109/TVCG.2010.164","10.1109/INFVIS.2000.885092"
"10.1109/TVCG.2010.164","10.1109/TVCG.2008.137"
"10.1109/TVCG.2010.174","10.1109/TVCG.2008.125"
"10.1109/TVCG.2010.175","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2010.175","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.176","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2010.176","10.1109/TVCG.2006.170"
"10.1109/TVCG.2010.176","10.1109/VISUAL.1994.346302"
"10.1109/TVCG.2010.176","10.1109/TVCG.2008.153"
"10.1109/TVCG.2010.177","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.177","10.1109/VAST.2008.4677365"
"10.1109/TVCG.2010.179","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2010.179","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2010.179","10.1109/TVCG.2008.137"
"10.1109/TVCG.2010.184","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2010.184","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2010.184","10.1109/INFVIS.2005.1532136"
"10.1109/TVCG.2010.184","10.1109/INFVIS.1998.729559"
"10.1109/TVCG.2010.185","10.1109/VISUAL.1991.175815"
"10.1109/TVCG.2010.185","10.1109/INFVIS.2002.1173148"
"10.1109/TVCG.2010.185","10.1109/INFVIS.1997.636718"
"10.1109/TVCG.2010.186","10.1109/INFVIS.2000.885091"
"10.1109/TVCG.2010.191","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2010.194","10.1109/INFVIS.2005.1532122"
"10.1109/TVCG.2010.197","10.1109/INFVIS.2005.1532138"
"10.1109/TVCG.2010.197","10.1109/VISUAL.1991.175815"
"10.1109/TVCG.2010.197","10.1109/INFVIS.2005.1532122"
"10.1109/TVCG.2010.197","10.1109/INFVIS.2000.885098"
"10.1109/TVCG.2010.205","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2010.205","10.1109/TVCG.2008.153"
"10.1109/TVCG.2010.206","10.1109/TVCG.2008.166"
"10.1109/TVCG.2010.206","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2010.206","10.1109/INFVIS.1999.801851"
"10.1109/TVCG.2010.210","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2010.210","10.1109/INFVIS.2005.1532126"
"10.1109/TVCG.2010.210","10.1109/TVCG.2009.122"
"10.1109/TVCG.2010.210","10.1109/TVCG.2006.166"
"10.1109/TVCG.2010.210","10.1109/TVCG.2008.153"
"10.1109/TVCG.2010.216","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2010.216","10.1109/VISUAL.1990.146386"
"10.1109/TVCG.2010.216","10.1109/INFVIS.2004.15"
"10.1109/TVCG.2010.216","10.1109/INFVIS.2002.1173157"
"10.1109/TVCG.2010.216","10.1109/VISUAL.1991.175815"
"10.1109/TVCG.2010.216","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2010.222","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2010.222","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2010.222","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2010.5652392","10.1109/VISUAL.1994.346302"
"10.1109/VAST.2010.5652392","10.1109/TVCG.2009.153"
"10.1109/VAST.2010.5652398","10.1109/TVCG.2007.70515"
"10.1109/VAST.2010.5652398","10.1109/INFVIS.1998.729559"
"10.1109/VAST.2010.5652398","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2010.5652398","10.1109/VISUAL.1994.346302"
"10.1109/VAST.2010.5652398","10.1109/TVCG.2008.153"
"10.1109/VAST.2010.5652433","10.1109/INFVIS.2005.1532142"
"10.1109/VAST.2010.5652443","10.1109/TVCG.2009.153"
"10.1109/VAST.2010.5652460","10.1109/TVCG.2006.166"
"10.1109/VAST.2010.5652460","10.1109/TVCG.2008.153"
"10.1109/VAST.2010.5652478","10.1109/INFVIS.1999.801851"
"10.1109/VAST.2010.5652520","10.1109/TVCG.2008.137"
"10.1109/VAST.2010.5652520","10.1109/INFVIS.2004.12"
"10.1109/VAST.2010.5652520","10.1109/VISUAL.1994.346302"
"10.1109/VAST.2010.5652520","10.1109/INFVIS.1998.729560"
"10.1109/VAST.2010.5652520","10.1109/TVCG.2007.70582"
"10.1109/VAST.2010.5652520","10.1109/TVCG.2007.70594"
"10.1109/VAST.2010.5652520","10.1109/VAST.2007.4389006"
"10.1109/VAST.2010.5652520","10.1109/INFVIS.2004.64"
"10.1109/VAST.2010.5652530","10.1109/INFVIS.1999.801851"
"10.1109/VAST.2010.5652879","10.1109/TVCG.2008.137"
"10.1109/VAST.2010.5652879","10.1109/VAST.2008.4677365"
"10.1109/VAST.2010.5652879","10.1109/TVCG.2007.70577"
"10.1109/VAST.2010.5652880","10.1109/VAST.2007.4389006"
"10.1109/VAST.2010.5652880","10.1109/TVCG.2007.70577"
"10.1109/VAST.2010.5652885","10.1109/VISUAL.1990.146375"
"10.1109/VAST.2010.5652885","10.1109/INFVIS.2005.1532136"
"10.1109/VAST.2010.5652885","10.1109/TVCG.2007.70541"
"10.1109/VAST.2010.5652885","10.1109/VAST.2008.4677365"
"10.1109/VAST.2010.5652885","10.1109/TVCG.2007.70577"
"10.1109/VAST.2010.5652910","10.1109/VAST.2007.4389006"
"10.1109/VAST.2010.5652931","10.1109/TVCG.2008.166"
"10.1109/VAST.2010.5652931","10.1109/VAST.2007.4389006"
"10.1109/VAST.2010.5652931","10.1109/INFVIS.2005.1532122"
"10.1109/VAST.2010.5652932","10.1109/VAST.2007.4389006"
"10.1109/VAST.2010.5652932","10.1109/TVCG.2007.70577"
"10.1109/VAST.2010.5652940","10.1109/VISUAL.1990.146402"
"10.1109/VAST.2010.5652940","10.1109/INFVIS.1995.528686"
"10.1109/VAST.2010.5653598","10.1109/TVCG.2008.137"
"10.1109/VAST.2010.5653598","10.1109/VAST.2008.4677365"
"10.1109/VAST.2010.5653599","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.132","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.132","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2010.132","10.1109/INFVIS.2000.885092"
"10.1109/TVCG.2010.132","10.1109/VISUAL.1990.146375"
"10.1109/TVCG.2010.139","10.1109/VISUAL.1997.663875"
"10.1109/TVCG.2010.145","10.1109/VISUAL.1998.745713"
"10.1109/TVCG.2010.145","10.1109/VISUAL.2000.885683"
"10.1109/TVCG.2010.145","10.1109/VISUAL.2003.1250384"
"10.1109/TVCG.2010.146","10.1109/VISUAL.1999.809896"
"10.1109/TVCG.2010.147","10.1109/VISUAL.2003.1250414"
"10.1109/TVCG.2010.148","10.1109/VISUAL.2003.1250384"
"10.1109/TVCG.2010.152","10.1109/VISUAL.2003.1250414"
"10.1109/TVCG.2010.155","10.1109/VISUAL.1994.346331"
"10.1109/TVCG.2010.155","10.1109/VISUAL.2003.1250384"
"10.1109/TVCG.2010.157","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2010.160","10.1109/VISUAL.1994.346331"
"10.1109/TVCG.2010.166","10.1109/VISUAL.1999.809905"
"10.1109/TVCG.2010.169","10.1109/VISUAL.1992.235211"
"10.1109/TVCG.2010.170","10.1109/VISUAL.1992.235211"
"10.1109/TVCG.2010.171","10.1109/INFVIS.2002.1173157"
"10.1109/TVCG.2010.173","10.1109/VISUAL.2003.1250414"
"10.1109/TVCG.2010.173","10.1109/VISUAL.1992.235211"
"10.1109/TVCG.2010.173","10.1109/VISUAL.2000.885694"
"10.1109/TVCG.2010.182","10.1109/VISUAL.1991.175782"
"10.1109/TVCG.2010.182","10.1109/VISUAL.1997.663875"
"10.1109/TVCG.2010.187","10.1109/VISUAL.2000.885683"
"10.1109/TVCG.2010.187","10.1109/VISUAL.2000.885694"
"10.1109/TVCG.2010.190","10.1109/INFVIS.1998.729559"
"10.1109/TVCG.2010.190","10.1109/TVCG.2009.153"
"10.1109/TVCG.2010.192","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2010.198","10.1109/VISUAL.1999.809896"
"10.1109/TVCG.2010.198","10.1109/VISUAL.1992.235211"
"10.1109/TVCG.2010.199","10.1109/VISUAL.1999.809905"
"10.1109/TVCG.2010.199","10.1109/VISUAL.1998.745294"
"10.1109/TVCG.2010.199","10.1109/VISUAL.1991.175773"
"10.1109/TVCG.2010.199","10.1109/VISUAL.1993.398849"
"10.1109/TVCG.2010.199","10.1109/VISUAL.2003.1250414"
"10.1109/TVCG.2010.199","10.1109/VISUAL.1994.346326"
"10.1109/TVCG.2010.207","10.1109/TVCG.2008.153"
"10.1109/TVCG.2010.211","10.1109/VISUAL.1994.346331"
"10.1109/TVCG.2010.223","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2010.223","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2011.160","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2011.163","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2011.163","10.1109/INFVIS.2005.1532138"
"10.1109/TVCG.2011.163","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2011.163","10.1109/TVCG.2006.170"
"10.1109/TVCG.2011.166","10.1109/INFVIS.2002.1173157"
"10.1109/TVCG.2011.166","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2011.166","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2011.166","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2011.166","10.1109/INFVIS.2005.1532138"
"10.1109/TVCG.2011.166","10.1109/TVCG.2006.170"
"10.1109/TVCG.2011.169","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.175","10.1109/TVCG.2008.125"
"10.1109/TVCG.2011.175","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2011.175","10.1109/TVCG.2009.111"
"10.1109/TVCG.2011.176","10.1109/TVCG.2008.153"
"10.1109/TVCG.2011.178","10.1109/INFVIS.2000.885086"
"10.1109/TVCG.2011.178","10.1109/VISUAL.1994.346302"
"10.1109/TVCG.2011.178","10.1109/VISUAL.1995.485139"
"10.1109/TVCG.2011.179","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2011.183","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.183","10.1109/TVCG.2009.122"
"10.1109/TVCG.2011.183","10.1109/VISUAL.1995.485139"
"10.1109/TVCG.2011.183","10.1109/TVCG.2006.166"
"10.1109/TVCG.2011.185","10.1109/INFVIS.2000.885091"
"10.1109/TVCG.2011.185","10.1109/INFVIS.2000.885098"
"10.1109/TVCG.2011.185","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2011.185","10.1109/INFVIS.2005.1532122"
"10.1109/TVCG.2011.185","10.1109/TVCG.2008.166"
"10.1109/TVCG.2011.185","10.1109/INFVIS.2004.64"
"10.1109/TVCG.2011.185","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2011.186","10.1109/TVCG.2009.122"
"10.1109/TVCG.2011.186","10.1109/INFVIS.2005.1532126"
"10.1109/TVCG.2011.187","10.1109/INFVIS.2004.1"
"10.1109/TVCG.2011.187","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.188","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.188","10.1109/VISUAL.1995.485141"
"10.1109/TVCG.2011.188","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.188","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2011.188","10.1109/INFVIS.1998.729559"
"10.1109/TVCG.2011.188","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2011.188","10.1109/TVCG.2008.153"
"10.1109/TVCG.2011.188","10.1109/TVCG.2009.153"
"10.1109/TVCG.2011.190","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.190","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2011.190","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.191","10.1109/INFVIS.2004.66"
"10.1109/TVCG.2011.192","10.1109/INFVIS.2005.1532136"
"10.1109/TVCG.2011.195","10.1109/INFVIS.1999.801851"
"10.1109/TVCG.2011.196","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2011.197","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2011.197","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2011.197","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2011.201","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2011.201","10.1109/INFVIS.2005.1532136"
"10.1109/TVCG.2011.201","10.1109/INFVIS.2002.1173157"
"10.1109/TVCG.2011.201","10.1109/TVCG.2006.170"
"10.1109/TVCG.2011.201","10.1109/TVCG.2008.153"
"10.1109/TVCG.2011.202","10.1109/INFVIS.2005.1532150"
"10.1109/TVCG.2011.202","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.212","10.1109/INFVIS.2002.1173148"
"10.1109/TVCG.2011.213","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.213","10.1109/INFVIS.2004.66"
"10.1109/TVCG.2011.213","10.1109/TVCG.2006.166"
"10.1109/TVCG.2011.223","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.223","10.1109/INFVIS.2005.1532150"
"10.1109/TVCG.2011.223","10.1109/INFVIS.2004.66"
"10.1109/TVCG.2011.226","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2011.226","10.1109/INFVIS.2005.1532138"
"10.1109/TVCG.2011.226","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.227","10.1109/TVCG.2007.70594"
"10.1109/TVCG.2011.227","10.1109/INFVIS.2000.885091"
"10.1109/TVCG.2011.227","10.1109/VISUAL.1990.146386"
"10.1109/TVCG.2011.227","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2011.229","10.1109/INFVIS.2004.15"
"10.1109/TVCG.2011.229","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2011.229","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2011.229","10.1109/VISUAL.1990.146402"
"10.1109/TVCG.2011.229","10.1109/VISUAL.1990.146386"
"10.1109/TVCG.2011.229","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2011.229","10.1109/INFVIS.1998.729559"
"10.1109/TVCG.2011.229","10.1109/INFVIS.2000.885092"
"10.1109/TVCG.2011.229","10.1109/TVCG.2009.153"
"10.1109/TVCG.2011.232","10.1109/INFVIS.2002.1173156"
"10.1109/TVCG.2011.233","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.233","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2011.233","10.1109/INFVIS.2005.1532150"
"10.1109/TVCG.2011.237","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2011.237","10.1109/VISUAL.1994.346302"
"10.1109/TVCG.2011.237","10.1109/INFVIS.2004.15"
"10.1109/TVCG.2011.237","10.1109/TVCG.2008.153"
"10.1109/TVCG.2011.239","10.1109/TVCG.2008.166"
"10.1109/TVCG.2011.239","10.1109/INFVIS.2005.1532122"
"10.1109/TVCG.2011.247","10.1109/INFVIS.2004.1"
"10.1109/TVCG.2011.247","10.1109/INFVIS.2000.885091"
"10.1109/TVCG.2011.247","10.1109/TVCG.2006.166"
"10.1109/TVCG.2011.247","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.250","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2011.250","10.1109/TVCG.2006.147"
"10.1109/TVCG.2011.250","10.1109/TVCG.2006.166"
"10.1109/TVCG.2011.251","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2011.251","10.1109/INFVIS.2002.1173148"
"10.1109/TVCG.2011.251","10.1109/VISUAL.1991.175815"
"10.1109/TVCG.2011.253","10.1109/VISUAL.2005.1532788"
"10.1109/TVCG.2011.253","10.1109/VISUAL.1991.175815"
"10.1109/TVCG.2011.255","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2011.255","10.1109/TVCG.2009.111"
"10.1109/VAST.2011.6102435","10.1109/VAST.2007.4389006"
"10.1109/VAST.2011.6102435","10.1109/TVCG.2007.70515"
"10.1109/VAST.2011.6102435","10.1109/TVCG.2007.70535"
"10.1109/VAST.2011.6102435","10.1109/TVCG.2007.70594"
"10.1109/VAST.2011.6102437","10.1109/INFVIS.2005.1532142"
"10.1109/VAST.2011.6102437","10.1109/TVCG.2009.153"
"10.1109/VAST.2011.6102438","10.1109/TVCG.2009.111"
"10.1109/VAST.2011.6102438","10.1109/VAST.2007.4389006"
"10.1109/VAST.2011.6102440","10.1109/TVCG.2007.70582"
"10.1109/VAST.2011.6102440","10.1109/TVCG.2006.166"
"10.1109/VAST.2011.6102440","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2011.6102440","10.1109/VAST.2007.4389006"
"10.1109/VAST.2011.6102441","10.1109/TVCG.2007.70582"
"10.1109/VAST.2011.6102441","10.1109/TVCG.2006.166"
"10.1109/VAST.2011.6102441","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2011.6102442","10.1109/TVCG.2007.70582"
"10.1109/VAST.2011.6102443","10.1109/TVCG.2007.70582"
"10.1109/VAST.2011.6102443","10.1109/INFVIS.2005.1532126"
"10.1109/VAST.2011.6102443","10.1109/TVCG.2006.166"
"10.1109/VAST.2011.6102446","10.1109/INFVIS.2004.12"
"10.1109/VAST.2011.6102446","10.1109/INFVIS.2004.64"
"10.1109/VAST.2011.6102446","10.1109/INFVIS.1998.729560"
"10.1109/VAST.2011.6102446","10.1109/INFVIS.2002.1173148"
"10.1109/VAST.2011.6102447","10.1109/TVCG.2007.70541"
"10.1109/VAST.2011.6102447","10.1109/TVCG.2007.70577"
"10.1109/VAST.2011.6102447","10.1109/VAST.2008.4677365"
"10.1109/VAST.2011.6102447","10.1109/TVCG.2006.166"
"10.1109/VAST.2011.6102448","10.1109/TVCG.2009.153"
"10.1109/VAST.2011.6102448","10.1109/TVCG.2008.153"
"10.1109/VAST.2011.6102451","10.1109/TVCG.2007.70515"
"10.1109/VAST.2011.6102451","10.1109/VISUAL.1994.346302"
"10.1109/VAST.2011.6102451","10.1109/INFVIS.1998.729559"
"10.1109/VAST.2011.6102451","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2011.6102453","10.1109/TVCG.2008.166"
"10.1109/VAST.2011.6102455","10.1109/INFVIS.2004.27"
"10.1109/VAST.2011.6102457","10.1109/TVCG.2008.137"
"10.1109/VAST.2011.6102457","10.1109/TVCG.2007.70594"
"10.1109/VAST.2011.6102457","10.1109/INFVIS.2000.885086"
"10.1109/VAST.2011.6102458","10.1109/INFVIS.2005.1532126"
"10.1109/VAST.2011.6102458","10.1109/INFVIS.2004.1"
"10.1109/VAST.2011.6102460","10.1109/INFVIS.1999.801851"
"10.1109/VAST.2011.6102460","10.1109/VAST.2007.4389006"
"10.1109/VAST.2011.6102461","10.1109/INFVIS.2000.885098"
"10.1109/VAST.2011.6102462","10.1109/INFVIS.2000.885091"
"10.1109/VAST.2011.6102462","10.1109/VAST.2007.4389006"
